0,gudd,2021,2,27,16,15,58
0,gud,2021,2,27,16,16,0
0,gooddd,2021,2,27,16,16,6
0,chào,2021,2,27,16,21,51
0,cc,2021,2,27,16,27,20
0,qq,2021,2,27,16,27,22
0,vl,2021,2,27,16,27,23
0,vcl,2021,2,27,16,27,23
1,wow,2021,2,27,16,30,34
0,không trêu,2021,2,27,16,35,16
0,hihi qq,2021,2,27,16,35,32
0,chào,2021,2,28,16,56,45
0,chán quá,2021,2,28,16,56,46
0,Hi,2021,2,28,19,23,31
0,2,2021,2,28,19,23,32
0,2,2021,2,28,19,23,43
0,Dien,2021,2,28,19,23,46
1,K dc tu nhan minh dien,2021,2,28,19,25,54
0,Hieu chua,2021,2,28,19,25,54
0,Bi dien,2021,2,28,19,25,56
0,Thich a,2021,2,28,19,25,57
0,Thích á,2021,2,28,19,25,58
0,Dien,2021,2,28,19,25,59
0,Km ban,2021,2,28,19,26,1
0,Tat nhien,2021,2,28,19,26,3
0,Gi,2021,2,28,19,26,4
0,A the a,2021,2,28,19,26,5
0,Ok,2021,2,28,19,29,9
1,Gián có kêu k,2021,2,28,19,33,45
